DIM_GHECAUSE_CODE,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DTHS_RATE100K_NUMERIC,Gender,AgeGroup,NumericAge
1150,"Cardiomyopathy, myocarditis, endocarditis",67.79,0.135,Female,1 to 4 years,3
1150,"Cardiomyopathy, myocarditis, endocarditis",67.79,0.135,Female,1 to 4 years,4
1560,"Fire, heat and hot substances",50.35,0.135,Female,1 to 4 years,1
1560,"Fire, heat and hot substances",50.35,0.135,Female,1 to 4 years,2
1560,"Fire, heat and hot substances",50.35,0.135,Female,1 to 4 years,3
1560,"Fire, heat and hot substances",50.35,0.135,Female,1 to 4 years,4
110,Diarrhoeal diseases,46.66,0.1225,Female,1 to 4 years,1
110,Diarrhoeal diseases,46.66,0.1225,Female,1 to 4 years,2
110,Diarrhoeal diseases,46.66,0.1225,Female,1 to 4 years,3
110,Diarrhoeal diseases,46.66,0.1225,Female,1 to 4 years,4
770,Leukaemia,45.06,0.1125,Female,1 to 4 years,1
770,Leukaemia,45.06,0.1125,Female,1 to 4 years,2
770,Leukaemia,45.06,0.1125,Female,1 to 4 years,3
770,Leukaemia,45.06,0.1125,Female,1 to 4 years,4
1530,Road injury,171.35,0.37,Female,5 to 9 years,5
1530,Road injury,171.35,0.37,Female,5 to 9 years,6
1530,Road injury,171.35,0.37,Female,5 to 9 years,7
1530,Road injury,171.35,0.37,Female,5 to 9 years,8
1530,Road injury,171.35,0.37,Female,5 to 9 years,9
1400,Congenital anomalies,190.69,0.202,Female,5 to 9 years,5
1400,Congenital anomalies,190.69,0.202,Female,5 to 9 years,6
1400,Congenital anomalies,190.69,0.202,Female,5 to 9 years,7
1400,Congenital anomalies,190.69,0.202,Female,5 to 9 years,8
1400,Congenital anomalies,190.69,0.202,Female,5 to 9 years,9
751,Brain and nervous system cancers,68.18,0.156,Female,5 to 9 years,5
751,Brain and nervous system cancers,68.18,0.156,Female,5 to 9 years,6
751,Brain and nervous system cancers,68.18,0.156,Female,5 to 9 years,7
751,Brain and nervous system cancers,68.18,0.156,Female,5 to 9 years,8
751,Brain and nervous system cancers,68.18,0.156,Female,5 to 9 years,9
1620,Interpersonal violence,53.3,0.096,Female,5 to 9 years,5
1620,Interpersonal violence,53.3,0.096,Female,5 to 9 years,6
1620,Interpersonal violence,53.3,0.096,Female,5 to 9 years,7
1620,Interpersonal violence,53.3,0.096,Female,5 to 9 years,8
1620,Interpersonal violence,53.3,0.096,Female,5 to 9 years,9
1570,Drowning,38.19,0.09,Female,5 to 9 years,5
1570,Drowning,38.19,0.09,Female,5 to 9 years,6
1570,Drowning,38.19,0.09,Female,5 to 9 years,7
1570,Drowning,38.19,0.09,Female,5 to 9 years,8
1570,Drowning,38.19,0.09,Female,5 to 9 years,9
1560,"Fire, heat and hot substances",40.09,0.08399999999999999,Female,5 to 9 years,5
1560,"Fire, heat and hot substances",40.09,0.08399999999999999,Female,5 to 9 years,6
1560,"Fire, heat and hot substances",40.09,0.08399999999999999,Female,5 to 9 years,7
1560,"Fire, heat and hot substances",40.09,0.08399999999999999,Female,5 to 9 years,8
1560,"Fire, heat and hot substances",40.09,0.08399999999999999,Female,5 to 9 years,9
770,Leukaemia,26.76,0.06,Female,5 to 9 years,5
770,Leukaemia,26.76,0.06,Female,5 to 9 years,6
770,Leukaemia,26.76,0.06,Female,5 to 9 years,7
770,Leukaemia,26.76,0.06,Female,5 to 9 years,8
770,Leukaemia,26.76,0.06,Female,5 to 9 years,9
395,COVID-19,84.54,0.05,Female,5 to 9 years,5
395,COVID-19,84.54,0.05,Female,5 to 9 years,6
395,COVID-19,84.54,0.05,Female,5 to 9 years,7
395,COVID-19,84.54,0.05,Female,5 to 9 years,8
395,COVID-19,84.54,0.05,Female,5 to 9 years,9
970,Epilepsy,94.65,0.041999999999999996,Female,5 to 9 years,5
970,Epilepsy,94.65,0.041999999999999996,Female,5 to 9 years,6
970,Epilepsy,94.65,0.041999999999999996,Female,5 to 9 years,7
970,Epilepsy,94.65,0.041999999999999996,Female,5 to 9 years,8
970,Epilepsy,94.65,0.041999999999999996,Female,5 to 9 years,9
1150,"Cardiomyopathy, myocarditis, endocarditis",31.03,0.04,Female,5 to 9 years,5
1150,"Cardiomyopathy, myocarditis, endocarditis",31.03,0.04,Female,5 to 9 years,6
1150,"Cardiomyopathy, myocarditis, endocarditis",31.03,0.04,Female,5 to 9 years,7
1150,"Cardiomyopathy, myocarditis, endocarditis",31.03,0.04,Female,5 to 9 years,8
1150,"Cardiomyopathy, myocarditis, endocarditis",31.03,0.04,Female,5 to 9 years,9
1610,Self-harm,198.87,0.492,Female,10 to 14 years,10
1610,Self-harm,198.87,0.492,Female,10 to 14 years,11
1610,Self-harm,198.87,0.492,Female,10 to 14 years,12
1610,Self-harm,198.87,0.492,Female,10 to 14 years,13
1610,Self-harm,198.87,0.492,Female,10 to 14 years,14
1530,Road injury,167.2,0.366,Female,10 to 14 years,10
1530,Road injury,167.2,0.366,Female,10 to 14 years,11
1530,Road injury,167.2,0.366,Female,10 to 14 years,12
1530,Road injury,167.2,0.366,Female,10 to 14 years,13
1530,Road injury,167.2,0.366,Female,10 to 14 years,14
1400,Congenital anomalies,157.62,0.188,Female,10 to 14 years,10
1400,Congenital anomalies,157.62,0.188,Female,10 to 14 years,11
1400,Congenital anomalies,157.62,0.188,Female,10 to 14 years,12
1400,Congenital anomalies,157.62,0.188,Female,10 to 14 years,13
1400,Congenital anomalies,157.62,0.188,Female,10 to 14 years,14
751,Brain and nervous system cancers,55.04,0.134,Female,10 to 14 years,10
751,Brain and nervous system cancers,55.04,0.134,Female,10 to 14 years,11
751,Brain and nervous system cancers,55.04,0.134,Female,10 to 14 years,12
751,Brain and nervous system cancers,55.04,0.134,Female,10 to 14 years,13
751,Brain and nervous system cancers,55.04,0.134,Female,10 to 14 years,14
770,Leukaemia,35.49,0.086,Female,10 to 14 years,10
770,Leukaemia,35.49,0.086,Female,10 to 14 years,11
770,Leukaemia,35.49,0.086,Female,10 to 14 years,12
770,Leukaemia,35.49,0.086,Female,10 to 14 years,13
770,Leukaemia,35.49,0.086,Female,10 to 14 years,14
1620,Interpersonal violence,58.8,0.08199999999999999,Female,10 to 14 years,10
1620,Interpersonal violence,58.8,0.08199999999999999,Female,10 to 14 years,11
1620,Interpersonal violence,58.8,0.08199999999999999,Female,10 to 14 years,12
1620,Interpersonal violence,58.8,0.08199999999999999,Female,10 to 14 years,13
1620,Interpersonal violence,58.8,0.08199999999999999,Female,10 to 14 years,14
395,COVID-19,106.76,0.076,Female,10 to 14 years,10
395,COVID-19,106.76,0.076,Female,10 to 14 years,11
395,COVID-19,106.76,0.076,Female,10 to 14 years,12
395,COVID-19,106.76,0.076,Female,10 to 14 years,13
395,COVID-19,106.76,0.076,Female,10 to 14 years,14
1570,Drowning,25.68,0.064,Female,10 to 14 years,10
1570,Drowning,25.68,0.064,Female,10 to 14 years,11
1570,Drowning,25.68,0.064,Female,10 to 14 years,12
1570,Drowning,25.68,0.064,Female,10 to 14 years,13
1570,Drowning,25.68,0.064,Female,10 to 14 years,14
1140,Stroke,54.48,0.062,Female,10 to 14 years,10
1140,Stroke,54.48,0.062,Female,10 to 14 years,11
1140,Stroke,54.48,0.062,Female,10 to 14 years,12
1140,Stroke,54.48,0.062,Female,10 to 14 years,13
1140,Stroke,54.48,0.062,Female,10 to 14 years,14
970,Epilepsy,101.65,0.05600000000000001,Female,10 to 14 years,10
970,Epilepsy,101.65,0.05600000000000001,Female,10 to 14 years,11
970,Epilepsy,101.65,0.05600000000000001,Female,10 to 14 years,12
970,Epilepsy,101.65,0.05600000000000001,Female,10 to 14 years,13
970,Epilepsy,101.65,0.05600000000000001,Female,10 to 14 years,14
1530,Road injury,716.82,1.798,Female,15 to 19 years,15
1530,Road injury,716.82,1.798,Female,15 to 19 years,16
1530,Road injury,716.82,1.798,Female,15 to 19 years,17
1530,Road injury,716.82,1.798,Female,15 to 19 years,18
1530,Road injury,716.82,1.798,Female,15 to 19 years,19
1610,Self-harm,447.5,1.174,Female,15 to 19 years,15
1610,Self-harm,447.5,1.174,Female,15 to 19 years,16
1610,Self-harm,447.5,1.174,Female,15 to 19 years,17
1610,Self-harm,447.5,1.174,Female,15 to 19 years,18
1610,Self-harm,447.5,1.174,Female,15 to 19 years,19
870,Drug use disorders,915.03,0.9640000000000001,Female,15 to 19 years,15
870,Drug use disorders,915.03,0.9640000000000001,Female,15 to 19 years,16
870,Drug use disorders,915.03,0.9640000000000001,Female,15 to 19 years,17
870,Drug use disorders,915.03,0.9640000000000001,Female,15 to 19 years,18
870,Drug use disorders,915.03,0.9640000000000001,Female,15 to 19 years,19
1620,Interpersonal violence,194.27,0.378,Female,15 to 19 years,15
1620,Interpersonal violence,194.27,0.378,Female,15 to 19 years,16
1620,Interpersonal violence,194.27,0.378,Female,15 to 19 years,17
1620,Interpersonal violence,194.27,0.378,Female,15 to 19 years,18
1620,Interpersonal violence,194.27,0.378,Female,15 to 19 years,19
395,COVID-19,184.68,0.266,Female,15 to 19 years,15
395,COVID-19,184.68,0.266,Female,15 to 19 years,16
395,COVID-19,184.68,0.266,Female,15 to 19 years,17
395,COVID-19,184.68,0.266,Female,15 to 19 years,18
395,COVID-19,184.68,0.266,Female,15 to 19 years,19
1400,Congenital anomalies,153.61,0.21000000000000002,Female,15 to 19 years,15
1400,Congenital anomalies,153.61,0.21000000000000002,Female,15 to 19 years,16
1400,Congenital anomalies,153.61,0.21000000000000002,Female,15 to 19 years,17
1400,Congenital anomalies,153.61,0.21000000000000002,Female,15 to 19 years,18
1400,Congenital anomalies,153.61,0.21000000000000002,Female,15 to 19 years,19
970,Epilepsy,127.0,0.13,Female,15 to 19 years,15
970,Epilepsy,127.0,0.13,Female,15 to 19 years,16
970,Epilepsy,127.0,0.13,Female,15 to 19 years,17
970,Epilepsy,127.0,0.13,Female,15 to 19 years,18
970,Epilepsy,127.0,0.13,Female,15 to 19 years,19
800,Diabetes mellitus,89.52,0.094,Female,15 to 19 years,15
800,Diabetes mellitus,89.52,0.094,Female,15 to 19 years,16
800,Diabetes mellitus,89.52,0.094,Female,15 to 19 years,17
800,Diabetes mellitus,89.52,0.094,Female,15 to 19 years,18
800,Diabetes mellitus,89.52,0.094,Female,15 to 19 years,19
1150,"Cardiomyopathy, myocarditis, endocarditis",43.97,0.088,Female,15 to 19 years,15
1150,"Cardiomyopathy, myocarditis, endocarditis",43.97,0.088,Female,15 to 19 years,16
1150,"Cardiomyopathy, myocarditis, endocarditis",43.97,0.088,Female,15 to 19 years,17
1150,"Cardiomyopathy, myocarditis, endocarditis",43.97,0.088,Female,15 to 19 years,18
1150,"Cardiomyopathy, myocarditis, endocarditis",43.97,0.088,Female,15 to 19 years,19
751,Brain and nervous system cancers,28.84,0.074,Female,15 to 19 years,15
751,Brain and nervous system cancers,28.84,0.074,Female,15 to 19 years,16
751,Brain and nervous system cancers,28.84,0.074,Female,15 to 19 years,17
751,Brain and nervous system cancers,28.84,0.074,Female,15 to 19 years,18
751,Brain and nervous system cancers,28.84,0.074,Female,15 to 19 years,19
870,Drug use disorders,3093.82,3.178,Female,20 to 24 years,20
870,Drug use disorders,3093.82,3.178,Female,20 to 24 years,21
870,Drug use disorders,3093.82,3.178,Female,20 to 24 years,22
870,Drug use disorders,3093.82,3.178,Female,20 to 24 years,23
870,Drug use disorders,3093.82,3.178,Female,20 to 24 years,24
1530,Road injury,904.92,2.37,Female,20 to 24 years,20
1530,Road injury,904.92,2.37,Female,20 to 24 years,21
1530,Road injury,904.92,2.37,Female,20 to 24 years,22
1530,Road injury,904.92,2.37,Female,20 to 24 years,23
1530,Road injury,904.92,2.37,Female,20 to 24 years,24
1610,Self-harm,528.56,1.472,Female,20 to 24 years,20
1610,Self-harm,528.56,1.472,Female,20 to 24 years,21
1610,Self-harm,528.56,1.472,Female,20 to 24 years,22
1610,Self-harm,528.56,1.472,Female,20 to 24 years,23
1610,Self-harm,528.56,1.472,Female,20 to 24 years,24
395,COVID-19,539.28,0.82,Female,20 to 24 years,20
395,COVID-19,539.28,0.82,Female,20 to 24 years,21
395,COVID-19,539.28,0.82,Female,20 to 24 years,22
395,COVID-19,539.28,0.82,Female,20 to 24 years,23
395,COVID-19,539.28,0.82,Female,20 to 24 years,24
1620,Interpersonal violence,337.42,0.818,Female,20 to 24 years,20
1620,Interpersonal violence,337.42,0.818,Female,20 to 24 years,21
1620,Interpersonal violence,337.42,0.818,Female,20 to 24 years,22
1620,Interpersonal violence,337.42,0.818,Female,20 to 24 years,23
1620,Interpersonal violence,337.42,0.818,Female,20 to 24 years,24
1400,Congenital anomalies,142.64,0.21800000000000003,Female,20 to 24 years,20
1400,Congenital anomalies,142.64,0.21800000000000003,Female,20 to 24 years,21
1400,Congenital anomalies,142.64,0.21800000000000003,Female,20 to 24 years,22
1400,Congenital anomalies,142.64,0.21800000000000003,Female,20 to 24 years,23
1400,Congenital anomalies,142.64,0.21800000000000003,Female,20 to 24 years,24
420,Maternal conditions,97.7,0.21600000000000003,Female,20 to 24 years,20
420,Maternal conditions,97.7,0.21600000000000003,Female,20 to 24 years,21
420,Maternal conditions,97.7,0.21600000000000003,Female,20 to 24 years,22
420,Maternal conditions,97.7,0.21600000000000003,Female,20 to 24 years,23
420,Maternal conditions,97.7,0.21600000000000003,Female,20 to 24 years,24
800,Diabetes mellitus,141.0,0.16999999999999998,Female,20 to 24 years,20
800,Diabetes mellitus,141.0,0.16999999999999998,Female,20 to 24 years,21
800,Diabetes mellitus,141.0,0.16999999999999998,Female,20 to 24 years,22
800,Diabetes mellitus,141.0,0.16999999999999998,Female,20 to 24 years,23
800,Diabetes mellitus,141.0,0.16999999999999998,Female,20 to 24 years,24
770,Leukaemia,45.51,0.128,Female,20 to 24 years,20
770,Leukaemia,45.51,0.128,Female,20 to 24 years,21
770,Leukaemia,45.51,0.128,Female,20 to 24 years,22
770,Leukaemia,45.51,0.128,Female,20 to 24 years,23
770,Leukaemia,45.51,0.128,Female,20 to 24 years,24
970,Epilepsy,119.79,0.12,Female,20 to 24 years,20
970,Epilepsy,119.79,0.12,Female,20 to 24 years,21
970,Epilepsy,119.79,0.12,Female,20 to 24 years,22
970,Epilepsy,119.79,0.12,Female,20 to 24 years,23
970,Epilepsy,119.79,0.12,Female,20 to 24 years,24
870,Drug use disorders,4118.4,5.172,Female,25 to 29 years,25
870,Drug use disorders,4118.4,5.172,Female,25 to 29 years,26
870,Drug use disorders,4118.4,5.172,Female,25 to 29 years,27
870,Drug use disorders,4118.4,5.172,Female,25 to 29 years,28
870,Drug use disorders,4118.4,5.172,Female,25 to 29 years,29
1530,Road injury,781.55,2.086,Female,25 to 29 years,25
1530,Road injury,781.55,2.086,Female,25 to 29 years,26
1530,Road injury,781.55,2.086,Female,25 to 29 years,27
1530,Road injury,781.55,2.086,Female,25 to 29 years,28
1530,Road injury,781.55,2.086,Female,25 to 29 years,29
1610,Self-harm,546.05,1.6280000000000001,Female,25 to 29 years,25
1610,Self-harm,546.05,1.6280000000000001,Female,25 to 29 years,26
1610,Self-harm,546.05,1.6280000000000001,Female,25 to 29 years,27
1610,Self-harm,546.05,1.6280000000000001,Female,25 to 29 years,28
1610,Self-harm,546.05,1.6280000000000001,Female,25 to 29 years,29
395,COVID-19,689.92,1.392,Female,25 to 29 years,25
395,COVID-19,689.92,1.392,Female,25 to 29 years,26
395,COVID-19,689.92,1.392,Female,25 to 29 years,27
395,COVID-19,689.92,1.392,Female,25 to 29 years,28
395,COVID-19,689.92,1.392,Female,25 to 29 years,29
1620,Interpersonal violence,253.82,0.6719999999999999,Female,25 to 29 years,25
1620,Interpersonal violence,253.82,0.6719999999999999,Female,25 to 29 years,26
1620,Interpersonal violence,253.82,0.6719999999999999,Female,25 to 29 years,27
1620,Interpersonal violence,253.82,0.6719999999999999,Female,25 to 29 years,28
1620,Interpersonal violence,253.82,0.6719999999999999,Female,25 to 29 years,29
800,Diabetes mellitus,234.53,0.358,Female,25 to 29 years,25
800,Diabetes mellitus,234.53,0.358,Female,25 to 29 years,26
800,Diabetes mellitus,234.53,0.358,Female,25 to 29 years,27
800,Diabetes mellitus,234.53,0.358,Female,25 to 29 years,28
800,Diabetes mellitus,234.53,0.358,Female,25 to 29 years,29
420,Maternal conditions,149.11,0.33799999999999997,Female,25 to 29 years,25
420,Maternal conditions,149.11,0.33799999999999997,Female,25 to 29 years,26
420,Maternal conditions,149.11,0.33799999999999997,Female,25 to 29 years,27
420,Maternal conditions,149.11,0.33799999999999997,Female,25 to 29 years,28
420,Maternal conditions,149.11,0.33799999999999997,Female,25 to 29 years,29
1230,Cirrhosis of the liver,101.79,0.3,Female,25 to 29 years,25
1230,Cirrhosis of the liver,101.79,0.3,Female,25 to 29 years,26
1230,Cirrhosis of the liver,101.79,0.3,Female,25 to 29 years,27
1230,Cirrhosis of the liver,101.79,0.3,Female,25 to 29 years,28
1230,Cirrhosis of the liver,101.79,0.3,Female,25 to 29 years,29
1150,"Cardiomyopathy, myocarditis, endocarditis",98.28,0.27,Female,25 to 29 years,25
1150,"Cardiomyopathy, myocarditis, endocarditis",98.28,0.27,Female,25 to 29 years,26
1150,"Cardiomyopathy, myocarditis, endocarditis",98.28,0.27,Female,25 to 29 years,27
1150,"Cardiomyopathy, myocarditis, endocarditis",98.28,0.27,Female,25 to 29 years,28
1150,"Cardiomyopathy, myocarditis, endocarditis",98.28,0.27,Female,25 to 29 years,29
860,Alcohol use disorders,401.81,0.202,Female,25 to 29 years,25
860,Alcohol use disorders,401.81,0.202,Female,25 to 29 years,26
860,Alcohol use disorders,401.81,0.202,Female,25 to 29 years,27
860,Alcohol use disorders,401.81,0.202,Female,25 to 29 years,28
860,Alcohol use disorders,401.81,0.202,Female,25 to 29 years,29
870,Drug use disorders,4113.75,6.862,Female,30 to 34 years,30
870,Drug use disorders,4113.75,6.862,Female,30 to 34 years,31
870,Drug use disorders,4113.75,6.862,Female,30 to 34 years,32
870,Drug use disorders,4113.75,6.862,Female,30 to 34 years,33
870,Drug use disorders,4113.75,6.862,Female,30 to 34 years,34
395,COVID-19,1022.68,2.662,Female,30 to 34 years,30
395,COVID-19,1022.68,2.662,Female,30 to 34 years,31
395,COVID-19,1022.68,2.662,Female,30 to 34 years,32
395,COVID-19,1022.68,2.662,Female,30 to 34 years,33
395,COVID-19,1022.68,2.662,Female,30 to 34 years,34
1530,Road injury,736.07,2.018,Female,30 to 34 years,30
1530,Road injury,736.07,2.018,Female,30 to 34 years,31
1530,Road injury,736.07,2.018,Female,30 to 34 years,32
1530,Road injury,736.07,2.018,Female,30 to 34 years,33
1530,Road injury,736.07,2.018,Female,30 to 34 years,34
1610,Self-harm,493.28,1.58,Female,30 to 34 years,30
1610,Self-harm,493.28,1.58,Female,30 to 34 years,31
1610,Self-harm,493.28,1.58,Female,30 to 34 years,32
1610,Self-harm,493.28,1.58,Female,30 to 34 years,33
1610,Self-harm,493.28,1.58,Female,30 to 34 years,34
1230,Cirrhosis of the liver,311.11,1.016,Female,30 to 34 years,30
1230,Cirrhosis of the liver,311.11,1.016,Female,30 to 34 years,31
1230,Cirrhosis of the liver,311.11,1.016,Female,30 to 34 years,32
1230,Cirrhosis of the liver,311.11,1.016,Female,30 to 34 years,33
1230,Cirrhosis of the liver,311.11,1.016,Female,30 to 34 years,34
1620,Interpersonal violence,279.11,0.8220000000000001,Female,30 to 34 years,30
1620,Interpersonal violence,279.11,0.8220000000000001,Female,30 to 34 years,31
1620,Interpersonal violence,279.11,0.8220000000000001,Female,30 to 34 years,32
1620,Interpersonal violence,279.11,0.8220000000000001,Female,30 to 34 years,33
1620,Interpersonal violence,279.11,0.8220000000000001,Female,30 to 34 years,34
700,Breast cancer,187.28,0.546,Female,30 to 34 years,30
700,Breast cancer,187.28,0.546,Female,30 to 34 years,31
700,Breast cancer,187.28,0.546,Female,30 to 34 years,32
700,Breast cancer,187.28,0.546,Female,30 to 34 years,33
700,Breast cancer,187.28,0.546,Female,30 to 34 years,34
1130,Ischaemic heart disease,162.29,0.52,Female,30 to 34 years,30
1130,Ischaemic heart disease,162.29,0.52,Female,30 to 34 years,31
1130,Ischaemic heart disease,162.29,0.52,Female,30 to 34 years,32
1130,Ischaemic heart disease,162.29,0.52,Female,30 to 34 years,33
1130,Ischaemic heart disease,162.29,0.52,Female,30 to 34 years,34
860,Alcohol use disorders,441.21,0.48200000000000004,Female,30 to 34 years,30
860,Alcohol use disorders,441.21,0.48200000000000004,Female,30 to 34 years,31
860,Alcohol use disorders,441.21,0.48200000000000004,Female,30 to 34 years,32
860,Alcohol use disorders,441.21,0.48200000000000004,Female,30 to 34 years,33
860,Alcohol use disorders,441.21,0.48200000000000004,Female,30 to 34 years,34
420,Maternal conditions,183.45,0.458,Female,30 to 34 years,30
420,Maternal conditions,183.45,0.458,Female,30 to 34 years,31
420,Maternal conditions,183.45,0.458,Female,30 to 34 years,32
420,Maternal conditions,183.45,0.458,Female,30 to 34 years,33
420,Maternal conditions,183.45,0.458,Female,30 to 34 years,34
870,Drug use disorders,3740.01,7.448,Female,35 to 39 years,35
870,Drug use disorders,3740.01,7.448,Female,35 to 39 years,36
870,Drug use disorders,3740.01,7.448,Female,35 to 39 years,37
870,Drug use disorders,3740.01,7.448,Female,35 to 39 years,38
870,Drug use disorders,3740.01,7.448,Female,35 to 39 years,39
395,COVID-19,1411.73,4.296,Female,35 to 39 years,35
395,COVID-19,1411.73,4.296,Female,35 to 39 years,36
395,COVID-19,1411.73,4.296,Female,35 to 39 years,37
395,COVID-19,1411.73,4.296,Female,35 to 39 years,38
395,COVID-19,1411.73,4.296,Female,35 to 39 years,39
1530,Road injury,714.86,2.0300000000000002,Female,35 to 39 years,35
1530,Road injury,714.86,2.0300000000000002,Female,35 to 39 years,36
1530,Road injury,714.86,2.0300000000000002,Female,35 to 39 years,37
1530,Road injury,714.86,2.0300000000000002,Female,35 to 39 years,38
1530,Road injury,714.86,2.0300000000000002,Female,35 to 39 years,39
1230,Cirrhosis of the liver,508.72,1.816,Female,35 to 39 years,35
1230,Cirrhosis of the liver,508.72,1.816,Female,35 to 39 years,36
1230,Cirrhosis of the liver,508.72,1.816,Female,35 to 39 years,37
1230,Cirrhosis of the liver,508.72,1.816,Female,35 to 39 years,38
1230,Cirrhosis of the liver,508.72,1.816,Female,35 to 39 years,39
1610,Self-harm,489.35,1.7,Female,35 to 39 years,35
1610,Self-harm,489.35,1.7,Female,35 to 39 years,36
1610,Self-harm,489.35,1.7,Female,35 to 39 years,37
1610,Self-harm,489.35,1.7,Female,35 to 39 years,38
1610,Self-harm,489.35,1.7,Female,35 to 39 years,39
700,Breast cancer,426.37,1.3800000000000001,Female,35 to 39 years,35
700,Breast cancer,426.37,1.3800000000000001,Female,35 to 39 years,36
700,Breast cancer,426.37,1.3800000000000001,Female,35 to 39 years,37
700,Breast cancer,426.37,1.3800000000000001,Female,35 to 39 years,38
700,Breast cancer,426.37,1.3800000000000001,Female,35 to 39 years,39
1130,Ischaemic heart disease,313.02,1.108,Female,35 to 39 years,35
1130,Ischaemic heart disease,313.02,1.108,Female,35 to 39 years,36
1130,Ischaemic heart disease,313.02,1.108,Female,35 to 39 years,37
1130,Ischaemic heart disease,313.02,1.108,Female,35 to 39 years,38
1130,Ischaemic heart disease,313.02,1.108,Female,35 to 39 years,39
860,Alcohol use disorders,442.99,0.6900000000000001,Female,35 to 39 years,35
860,Alcohol use disorders,442.99,0.6900000000000001,Female,35 to 39 years,36
860,Alcohol use disorders,442.99,0.6900000000000001,Female,35 to 39 years,37
860,Alcohol use disorders,442.99,0.6900000000000001,Female,35 to 39 years,38
860,Alcohol use disorders,442.99,0.6900000000000001,Female,35 to 39 years,39
1140,Stroke,288.74,0.6719999999999999,Female,35 to 39 years,35
1140,Stroke,288.74,0.6719999999999999,Female,35 to 39 years,36
1140,Stroke,288.74,0.6719999999999999,Female,35 to 39 years,37
1140,Stroke,288.74,0.6719999999999999,Female,35 to 39 years,38
1140,Stroke,288.74,0.6719999999999999,Female,35 to 39 years,39
800,Diabetes mellitus,475.04,0.5860000000000001,Female,35 to 39 years,35
800,Diabetes mellitus,475.04,0.5860000000000001,Female,35 to 39 years,36
800,Diabetes mellitus,475.04,0.5860000000000001,Female,35 to 39 years,37
800,Diabetes mellitus,475.04,0.5860000000000001,Female,35 to 39 years,38
800,Diabetes mellitus,475.04,0.5860000000000001,Female,35 to 39 years,39
395,COVID-19,2013.48,7.098000000000001,Female,40 to 44 years,40
395,COVID-19,2013.48,7.098000000000001,Female,40 to 44 years,41
395,COVID-19,2013.48,7.098000000000001,Female,40 to 44 years,42
395,COVID-19,2013.48,7.098000000000001,Female,40 to 44 years,43
395,COVID-19,2013.48,7.098000000000001,Female,40 to 44 years,44
870,Drug use disorders,3212.87,6.981999999999999,Female,40 to 44 years,40
870,Drug use disorders,3212.87,6.981999999999999,Female,40 to 44 years,41
870,Drug use disorders,3212.87,6.981999999999999,Female,40 to 44 years,42
870,Drug use disorders,3212.87,6.981999999999999,Female,40 to 44 years,43
870,Drug use disorders,3212.87,6.981999999999999,Female,40 to 44 years,44
